station_id,triplet,name,state,lat,lon,elevation_m
1267,1267:AK:SNTL,Alexander Lake,AK,61.7493,-150.89199,51.8
1189,1189:AK:SNTL,American Creek,AK,64.78969,-141.23376,310.9
1062,1062:AK:SNTL,Anchor River Divide,AK,59.8608,-151.31494,502.9
1070,1070:AK:SNTL,Anchorage Hillside,AK,61.11315,-149.68345,582.2
2065,2065:AK:SNTL,Aniak,AK,61.58337,-159.57708,27.4
957,957:AK:SNTL,Atigun Pass,AK,68.12983,-149.47817,1456.9
1182,1182:AK:SNTL,Bettles Field,AK,66.91467,-151.53318,195.1
1260,1260:AK:SNTL,Chena Lakes,AK,64.75793,-147.21823,152.4
1093,1093:AK:SNTL,Chisana,AK,62.06947,-142.04919,1011.9
958,958:AK:SNTL,Coldfoot,AK,67.25333,-150.183,326.1
959,959:AK:SNTL,Cooper Lake,AK,60.39027,-149.6936,350.5
1302,1302:AK:SNTL,Creamers Field,AK,64.86534,-147.73617,134.1
1303,1303:AK:SNTL,Dahl Creek,AK,66.94517,-156.90318,76.2
960,960:AK:SNTL,Eagle Summit,AK,65.48588,-145.41212,1106.4
1332,1332:AK:SNTL,Elmendorf Field,AK,61.24777,-149.82331,51.8
1071,1071:AK:SNTL,Esther Island,AK,60.798,-148.0857,15.2
1092,1092:AK:SNTL,Exit Glacier,AK,60.18957,-149.6228,109.7
1268,1268:AK:SNTL,Fielding Lake,AK,63.2026,-145.63442,914.4
1285,1285:AK:SNTL,Flower Mountain,AK,59.39617,-136.28123,774.2
961,961:AK:SNTL,Fort Yukon,AK,66.5705,-145.24553,134.1
641,641:AK:SNTL,Frostbite Bottom,AK,61.74699,-149.26769,819.9
429,429:AK:SNTL,Galena AK,AK,64.69662,-156.71497,103.6
962,962:AK:SNTL,Gobblers Knob,AK,66.745,-150.6675,621.8
956,956:AK:SNTL,Grandview,AK,60.60832,-149.06313,326.1
963,963:AK:SNTL,Granite Crk,AK,63.94382,-145.39993,381.0
964,964:AK:SNTL,Grouse Creek Divide,AK,60.25965,-149.34228,219.5
2222,2222:AK:SNTL,Gulkana River,AK,62.40962,-145.37513,557.8
